Título,Autores,Link,Resumo
[HTML][HTML] Inteligência Artificial e sociedade: avanços e riscos,"JS Sichman - Estudos Avançados, 2021 - SciELO Brasil",https://www.scielo.br/j/ea/a/c4sqqrthGMS3ngdBhGWtKhh/?format=html,"Este artigo tem como objetivo prover informações para que o leitor comum possa melhor 
entender os principais aspectos da IA, em que ela difere da computação convencional e como …"
[HTML][HTML] Inteligência Artificial e Aprendizado de Máquina: estado atual e tendências,"TB Ludermir - Estudos Avançados, 2021 - SciELO Brasil",https://www.scielo.br/j/ea/a/wXBdv8yHBV9xHz8qG5RCgZd/?lang=pt&format=html,"… A área de Inteligência Artificial demonstrou avanços extraordinários nos últimos anos e, … 
Como boa parte do sucesso atual da Inteligência Artificial se deve às técnicas de Aprendizado …"
O papel dos algoritmos de inteligência artificial nas redes sociais,"D Kaufman, L Santaella - Revista Famecos, 2020 - revistaseletronicas.pucrs.br",https://revistaseletronicas.pucrs.br/index.php/revistafamecos/article/view/34074,"… de inteligencia artificial. En vista de ello, teniendo como base una investigación cuidadosa 
sobre las tendencias actuales de la inteligencia artificial, … funciona la inteligencia artificial y el …"
[PDF][PDF] A inteligência artificial e eu: escrevendo o editorial juntamente com o ChatGPT,"L Rossoni, GPT Chat - Revista eletrônica de ciência …, 2022 - periodicosibepes.org.br",http://periodicosibepes.org.br/index.php/recadm/article/download/3761/1167,"… da inteligência artificial do meu coautor, o ChatGPT. … e utilidade na área de inteligência 
artificial e processamento de … de explorar as capacidades da inteligência artificial do ChatGPT. …"
[LIVRO][B] Direito e Inteligência Artificial,HS Antunes - 2020 - books.google.com,https://books.google.com/books?hl=pt-BR&lr=&id=LM7kDwAAQBAJ&oi=fnd&pg=PT2&dq=intelig%C3%AAncia+artificial&ots=PZUWasod_t&sig=irQcHi5RBUdY_me92XSQ8VI8cDU,"… a inteligência artificial. Além disso, a Ética carece da coercibilidade que só o Direito garante. 
Neste ensaio, não se pode desconhecer que a inteligência artificial … a inteligência artificial (…"
[LIVRO][B] Introdução à Inteligência Artificial: Uma abordagem não técnica,T Taulli - 2020 - books.google.com,https://books.google.com/books?hl=pt-BR&lr=&id=ON3FDwAAQBAJ&oi=fnd&pg=PT7&dq=intelig%C3%AAncia+artificial&ots=sJASi2Tddd&sig=YO7Kg6UgWQlsRCTMjLAYySPejO8,"A inteligência artificial envolve praticamente todas as partes do seu dia. Embora seja … O 
livro Introdução à Inteligência Artificial chega para equipar os leitores com uma compreensão …"
Inteligência artificial na educação e ética,"B Boulay - RE@ D–Revista de Educação a Distância e …, 2023 - repositorioaberto.uab.pt",https://repositorioaberto.uab.pt/handle/10400.2/14808,"… Resumo: Este capítulo aborda as questões éticas relacionadas com a aplicação da inteligência 
artificial (IA) na educação, desde os primórdios da inteligência artificial na educação, na …"
Inteligência artificial: reflexos no sistema do direito,"A Tacca, LS Rocha - 2018 - repositorio.ufc.br",https://repositorio.ufc.br/handle/riufc/43762,"… ascendente da Inteligência Artificial e os … Artificial no universo jurídico já está em curso. 
Além disso, o debate perquiriu antever as possibilidades e implicações da Inteligência Artificial …"
[HTML][HTML] Inteligência artificial: sistemas especialistas no gerenciamento da informação,"RD Mendes - Ciência da Informação, 1997 - SciELO Brasil",https://www.scielo.br/j/ci/a/MqGHKkTLcPxhhjgpDz9ZNNd/?lang=pt&format=html,"O principal objetivo deste artigo é propor um modelo para sistemas de gerenciamento da 
informação baseado em técnicas de inteligência artificial. O modelo propõe uma arquitetura …"
[LIVRO][B] Inteligência artificial a nosso favor: Como manter o controle sobre a tecnologia,S Russell - 2021 - books.google.com,https://books.google.com/books?hl=pt-BR&lr=&id=rb9IEAAAQBAJ&oi=fnd&pg=PT3&dq=intelig%C3%AAncia+artificial&ots=N1xeARCWmG&sig=d9GetF77-I2OKPYldXqelxblL_w,"… a possibilidade de que uma inteligência artificial super-humana talvez não fosse grande 
coisa … Em parte, a inteligência artificial nos fascina porque tem potencial de oferecer uma rota …"
"[HTML][HTML] Considerações iniciais sobre inteligência artificial, ética e autonomia pessoal","DCM Doneda, LS Mendes… - Pensar-Revista de …, 2018 - periodicos.unifor.br",https://periodicos.unifor.br/rpen/article/view/8257/,"… Aplicações concretas de Inteligência Artificial tornam-se cada vez mais frequentes e, com 
… na implementação de sistemas de Inteligência Artificial preservando os benefícios destes …"
[HTML][HTML] Semiformação e inteligência artificial no ensino,"LFAA Campos, LACN Lastória - Pro-Posições, 2020 - SciELO Brasil",https://www.scielo.br/j/pp/a/RMMLt3y3cwPs9f4cztTtMSv/,"Este artigo procura refletir sobre tecnologias audiovisuais, plataformas digitais e softwares 
de inteligência artificial voltados à personalização do ensino. A análise aborda o uso de …"
"Inteligência artificial, o futuro da medicina ea educação médica","LC Lobo - Revista Brasileira de Educação Médica, 2018 - SciELO Brasil",https://www.scielo.br/j/rbem/a/PyRJrW4vzDhZKzZW47wddQy/?lang=pt,"… Inteligência artificial (IA) é um ramo da ciência da computação que … Outra definição de 
Inteligência Artificial indica que seria a criação … , desde logo, a definição de Inteligência Artificial. …"
"[LIVRO][B] Trabalho, educação e inteligência artificial: a era do indivíduo versátil",R Fava - 2018 - books.google.com,https://books.google.com/books?hl=pt-BR&lr=&id=pkNmDwAAQBAJ&oi=fnd&pg=PT5&dq=intelig%C3%AAncia+artificial&ots=UPFdK-nBRD&sig=SCZ6lZ0zGzgCrQcu_GKSRm5vOKw,"… com dispositivos de inteligência artificial dotados de sentidos … E como a inteligência artificial 
e o big data impactarão as … pela robotização e pela inteligência artificial, podemos prever …"
[HTML][HTML] Influências das Tecnologias da Inteligência Artificial no ensino,"RM Vicari - Estudos Avançados, 2021 - SciELO Brasil",https://www.scielo.br/j/ea/a/VqyZbNzYfnCJ8s8Psft4jZf/?format=html,"… Após 64 anos de seu surgimento, a Inteligência Artificial (IA) enfrenta o complexo e o 
incerto dos nossos dias. Nesse período de sua existência, podem-se destacar dois “invernos” (…"
Projeto Victor: perspectivas de aplicação da inteligência artificial ao direito,"MS Maia Filho, TA Junquilho - Revista de Direitos e Garantias …, 2018 - dialnet.unirioja.es",https://dialnet.unirioja.es/servlet/articulo?codigo=8697581,"… Este artigo analisa o potencial que a inteligência artificial (IA) tem para impactar o Direito, 
discutindo como as ferramentas tecnológico-algorítmicas podem contribuir para diminuição …"
A inteligência artificial e a eficiência na administração pública,"D Desordi, C Della Bona - Revista de Direito, 2020 - beta.periodicos.ufv.br",https://beta.periodicos.ufv.br/revistadir/article/view/9112,"… Inteligência Artificial; e, por fim, serão estudados alguns casos em que a Inteligência Artificial 
… seja, que a utilização da inteligência artificial constitui um mecanismo importante para a …"
[HTML][HTML] Inteligência artificial: uma aplicação em uma indústria de processo contínuo,"MA Sellitto - Gestão & Produção, 2002 - SciELO Brasil",https://www.scielo.br/j/gp/a/kc6XPVSQvV6SVzZv8fcWjGM/,"… A Inteligência Artificial é um campo de conhecimentos que oferece modelos de apoio à … 
de alguns conceitos do campo da Inteligência Artificial no desenvolvimento e implantação, a …"
[LIVRO][B] Racismo algorítmico: inteligência artificial e discriminação nas redes digitais,T Silva - 2022 - books.google.com,https://books.google.com/books?hl=pt-BR&lr=&id=BCZcEAAAQBAJ&oi=fnd&pg=PT3&dq=intelig%C3%AAncia+artificial&ots=Gd-jc1y6lU&sig=BS7HxuEoMN5h7rhIEvZlyGd_i2s,"… Pesquisador rigoroso e ousado, Tarcízio Silva consegue articular os elementos fundamentais, 
os actantes decisivos, para assim nos mostrar como a inteligência artificial, em especial …"
A inteligência artificial na educação: os desafios do ChatGPT,"OS Rodrigues, KS Rodrigues - Texto Livre, 2023 - SciELO Brasil",https://www.scielo.br/j/tl/a/rxWn7YQbndZMYs9fpkxbVXv/,"… torno da Inteligência Artificial (IA) generativa para o campo de humanidades digitais, que 
tem preocupado educadores, principalmente do Ensino Superior, em situações como plágio, …"
[PDF][PDF] Inteligencia artificial,"L Rouhiainen - Madrid: Alienta Editorial, 2018 - planetadelibrosec0.cdnstatics.com",https://planetadelibrosec0.cdnstatics.com/libros_contenido_extra/40/39308_Inteligencia_artificial.pdf,"En este capítulo encontrarás una descripción de la inteligencia artificial (IA) desde un punto 
de vista general. Cubriremos algunas de sus definiciones básicas, las razones por las que …"
[PDF][PDF] Breve introdução à história da Inteligência Artificial,"X de Castro Barbosa - Jamaxi, 2020 - periodicos.ufac.br",https://periodicos.ufac.br/index.php/jamaxi/article/view/4730/2695,"… por Joseph Weizenbaum, no laboratório de Inteligência Artificial do MIT. O robô apresentava 
… Nos anos 2000: a inteligência artificial passou a ser estudada para aplicação em carros …"
Desafios da inteligência artificial em matéria de responsabilidade civil,"G Tepedino, R da Guia Silva - Revista Brasileira de …, 2019 - rbdcivil.emnuvens.com.br",https://rbdcivil.emnuvens.com.br/rbdc/article/view/465,"… Diretrizes Éticas para a Inteligência Artificial Confiável”, … inteligência artificial.Não se pode 
dizer, contudo, que os debates e as cogitações sobre as repercussões da inteligência artificial …"
[PDF][PDF] Algoritmos e inteligência artificial,"A Frazão - Jota, publicado em, 2018 - professoraanafrazao.com.br",http://www.professoraanafrazao.com.br/files/publicacoes/2018-05-16-Algoritmos_e_inteligencia_artificial.pdf,"… Diante da inteligência artificial, o controle sobre os inputs e outputs dos sistemas torna-se 
ainda mais precário. De fato, se o próprio código está em constante mutação, não se sabe em …"
[LIVRO][B] Inteligencia artificial,MA Boden - 2017 - books.google.com,https://books.google.com/books?hl=pt-BR&lr=&id=LCnYDwAAQBAJ&oi=fnd&pg=PT3&dq=intelig%C3%AAncia+artificial&ots=dsRpxZ8Oi8&sig=h69oix_VsZ3tfvMdGeXWfk5Hpc0,"Una de las grandes aventuras de nuestro tiempo es la búsqueda de la Inteligencia Artificial. 
De ella se habla con esperanza, con temor, con escepticismo o con desprecio según las …"
[PDF][PDF] Inteligência artificial,"P Norvig, S Russell - Rio de Janeiro: Grupo GEN, 2013 - dspace.scz.ucb.edu.bo",https://dspace.scz.ucb.edu.bo/dspace/bitstream/123456789/417/3/1609.pdf,"… 2 Los fundamentos de la inteligencia artificial................... Filosofía (de 428 aC al presente)........................ 
Matemáticas (aproximadamente del año 800 al presente)............ …"
Projeto Victor: relato do desenvolvimento da inteligência artificial na repercussão geral do Supremo Tribunal Federal,"FH Peixoto - Revista Brasileira de Inteligência Artificial e Direito …, 2020 - rbiad.com.br",https://www.rbiad.com.br/index.php/rbiad/article/view/4,"… e desenvolvimento de um sistema de inteligência artificial para aplicação nos fluxos de análise 
de … da pesquisa inovadora que marcou o ingresso da inteligência artificial no Judiciário. …"
"[PDF][PDF] Inteligência artificial, e-persons e direito: desafios e perspetivas","MM Barbosa - Revista Jurídica Luso-Brasileira, 2017 - cidp.pt",https://www.cidp.pt/revistas/rjlb/2017/6/2017_06_1475_1503.pdf,"… inteligência artificial nas operações do quotidiano, não nos parece viável que tal passe 
pelo reconhecimento de electronic persons ou e-persons30. Se a personalidade jurídica se ex…"
[LIVRO][B] Inteligência artificial,"CL López, P Meseguer - 2007 - dayuia6toinfor.wordpress.com",https://dayuia6toinfor.wordpress.com/wp-content/uploads/2014/10/resumen-tema-3-historia-de-la-ia1.pdf,"… los términos principales de la inteligencia artificial, se puede … que estuvieran compuestos 
de inteligencia artificial y aunque … resumen denominado: Historia de la Inteligencia Artificial. …"
Inteligência artificial e direitos da personalidade: uma contradição em termos?,"E Tomasevicius Filho - … da Faculdade de Direito, Universidade de …, 2018 - revistas.usp.br",https://www.revistas.usp.br/rfdusp/article/view/156553,"… Resumo: A inteligência artificial surgiu concomitantemente com a eletrônica e a ciência da 
… Neste artigo, faz-se a apresentação da inteligência artificial, os problemas que esta pode …"
[HTML][HTML] O desafio das tecnologias de inteligência artificial na Educação: percepção e avaliação dos professores,"A Parreira, L Lehmann, M Oliveira - Ensaio: avaliação e políticas …, 2021 - SciELO Brasil",https://www.scielo.br/j/ensaio/a/nM9Rk8swvtDvwWNrKCZtjGn/?format=html,"SciELO - Brasil - O desafio das tecnologias de inteligência artificial na Educação: percepção 
e avaliação dos professores O desafio das tecnologias de inteligência artificial na …"
"[HTML][HTML] Inteligência Artificial: riscos, benefícios e uso responsável","ACPL Carvalho - Estudos Avançados, 2021 - SciELO Brasil",https://www.scielo.br/j/ea/a/ZnKyrcrLVqzhZbXGgXTwDtn/?format=html,"… em Inteligência Artificial em um número crescente de sistemas e ferramentas. A Inteligência 
Artificial … Ao mesmo tempo, a Inteligência Artificial pode aumentar riscos existentes e trazer …"
Rumo a uma política de Estado para inteligência artificial,"RMO Cóbe, LG Nonato, SF Novaes, JA Ziebarth - Revista USP, 2020 - revistas.usp.br",https://www.revistas.usp.br/revusp/article/view/167914,"… O interesse pela inteligência artificial vem crescendo de forma acelerada nos últimos cinco 
anos. Como resultado, diversos países lançaram estratégias nacionais para impulsionar seu …"
Inteligência artificial aplicada ao direito eo direito da inteligência artificial,"JSA MARANHÃO, JA Florêncio… - Suprema: revista de …, 2021 - cadmus.eui.eu",https://cadmus.eui.eu/handle/1814/71840,"… O desenvolvimento de tecnologias de inteligência artificial é relevante para o Direito por … 
para o surgimento de um Direito da inteligência artificial; de outro, o próprio Direito surge …"
POLÍTICA E INTELIGÊNCIA ARTIFICIAL: PROVÁVEIS DESAFIOS AO CONTEXTO BRASILEIRO,"MS Rangel - Revista Tópicos, 2024 - revistatopicos.com.br",https://revistatopicos.com.br/artigos/politica-e-inteligencia-artificial-provaveis-desafios-ao-contexto-brasileiro,"… inteligência artificial no cenário político. À medida que avançamos rumo a uma era onde 
algoritmos e análises preditivas moldam a opinião pública, a questão das “fake news” emerge …"
[PDF][PDF] Inteligência Artificial no Direito–uma realidade a ser desbravada,"BF da Costa Felipe, RPC Perrota - Revista de Direito, Governança e …, 2018 - egov.ufsc.br",https://egov.ufsc.br/portal/sites/default/files/inteligencia_artificial_no_direito_-_uma_realidade.pdf,"… a Inteligência Artificial. A esta altura, devemos esclarecer o que entendemos por Robô e 
Inteligência Artificial. … do termo ―Inteligência Artificial‖ – IA ou AI (Artificial Intelligence) – está …"
O futuro da aprendizagem com a inteligência artificial aplicada à educação 4.0,"JFC Júnior, RA dos Reis Neto… - Revista …, 2023 - periodicos.educacaotransversal.com …",https://periodicos.educacaotransversal.com.br/index.php/rechso/article/view/94,"… a forma como aprendemos com o auxílio da Inteligência Artificial (IA). A Educação 4.0 refere… 
futuro da aprendizagem com o uso da inteligência artificial. O objetivo é fornecer uma visão …"
[PDF][PDF] Inteligência artificial na gestão de estoque,"CSF Aires, GJ Almeida, SO Silveira - X Fatelog, 2019 - fateclog.com.br",https://fateclog.com.br/anais/2019/INTELIG%C3%8ANCIA%20ARTIFICIAL%20NA%20GEST%C3%83O%20DE%20ESTOQUE.pdf,"… era da logística 4.0 a inteligência artificial se posiciona como um dos … tecnologias associadas 
a inteligência artificial e suas … de conceitos logísticos e de inteligência artificial, e por fim os …"
A inteligência artificial como ferramenta de apoio no ensino superior,"JFC Júnior, UF de Lima, MD Leme… - … de Ensino e …, 2023 - rebena.emnuvens.com.br",https://rebena.emnuvens.com.br/revista/article/view/111,"… A inteligência artificial vem ganhando cada vez mais espaço … , a implementação da inteligência 
artificial no ensino superior … A inteligência artificial pode ser uma ferramenta valiosa que …"
[PDF][PDF] Inteligência artificial e direito processual: vieses algorítmicos e os riscos de atribuição de função decisória às máquinas,"D Nunes, ALPC MARQUES - Revista de Processo, 2018 - academia.edu",https://www.academia.edu/download/57759867/RTDoc_13-11-2018_11_51_AM.pdf,"… a crescente implementação de diversas ferramentas de inteligência artificial (IA), a fim de 
… Dessa forma, discorre-se sobre o funcionamento das ferramentas de inteligência artificial, …"
Simulações conexionistas: a inteligência artificial moderna,"JM Poersch - Linguagem em (Dis) curso, 2004 - … .animaeducacao.com.br",https://portaldeperiodicos.animaeducacao.com.br/index.php/Linguagem_Discurso/article/view/273,"… inteligência artificial moderna instanciados pela modelagem cognitiva. Tenta-se, inicialmente, 
responder à pergunta “Por que um novo paradigma para a cognição?”. À resposta dessa …"
Inteligência artificial incorporada à Administração Pública: mitos e desafios teóricos,"VL do Valle - A&C-Revista de Direito Administrativo & …, 2020 - revistaaec.com",https://revistaaec.com/index.php/revistaaec/article/view/1346,"… Resumo: A disseminação de inteligência artificial através de … conceitos sobre modelagem 
de inteligência artificial e as funções … iniciais que o uso de inteligência artificial pode trazer às …"
[PDF][PDF] Inteligência Artificial na Educação: rumo a uma aprendizagem personalizada,"LBP Souza, GAO Joerke, YM MACEDO… - … Of Humanities And …, 2023 - researchgate.net",https://www.researchgate.net/profile/Marcella-Di-Santo/publication/371255697_Inteligencia_Artificial_Na_Educacao_Rumo_A_Uma_Aprendizagem_Personalizada/links/64e3e5020acf2e2b52096b2e/Inteligencia-Artificial-Na-Educacao-Rumo-A-Uma-Aprendizagem-Personalizada.pdf,"… A inteligência artificial tem se mostrado uma ferramenta … explorado o papel da inteligência 
artificial na educação e … No entanto, a inteligência artificial está mudando esse paradigma ao …"
[PDF][PDF] Inteligência artificial e regulação de algoritmos,"P Novais, PM Freitas - Diálogos União Europeia-Brasil. In: BRASIL …, 2018 - academia.edu",https://www.academia.edu/download/59158183/49f7d3_Inteligencia_Artificial_e_Regulacao_de_Algoritmos20190507-26200-126x95q.pdf,"… Neste capítulo é identificada a legislação europeia que aborda a desafios colocados 
pela robótica e inteligência artificial, em particular nos seguintes sectores-chave: veículos …"
Inteligência Artificial como oportunidade para a regulação jurídica,"W Hoffmann-Riem - Direito Público, 2019 - portal.idp.emnuvens.com.br",https://portal.idp.emnuvens.com.br/direitopublico/article/view/3756,"… O artigo inicia apresentando exemplos de possibilidades de utilização de inteligência 
artificial (IA) e referências a dimensões de efeitos sobre a sociedade. Seu objeto são os …"
[HTML][HTML] Comunicação e inteligência artificial: novos desafios e oportunidades para a pesquisa em comunicação,"DJ Gunkel, FB Trento, DN Gonçalves - Galáxia (São Paulo), 2017 - SciELO Brasil",https://www.scielo.br/j/gal/a/K7cGL4Jgp8dXYwzDPZPy6qS/,"SciELO - Brasil - Comunicação e inteligência artificial: novos desafios e oportunidades para 
a pesquisa em comunicação Comunicação e inteligência artificial: novos desafios e …"
Acesso à justiça e inteligência artificial: abordagem a partir da revisão sistemática da literatura,"DP Siqueira, FCP Lara, HFCAF Lima - … -Argumentum Journal of Law, 2020 - ojs.unimar.br",http://ojs.unimar.br/index.php/revistaargumentum/article/view/1386,"… os contornos contemporâneos que a inteligência artificial poderá fornecer para o … pergunta 
de pesquisa: como a inteligência artificial pode contribuir para otimização do acesso à justiça…"
Educação online e as implicações da inteligência artificial,"L Harasim - Revista da FAEEBA: Educação e Contemporaneidade, 2015 - educa.fcc.org.br",http://educa.fcc.org.br/scielo.php?pid=S0104-70432015000200025&script=sci_abstract,"… que promovem os softwares de Inteligência Artificial (IA) está proliferando nos Estados … e, 
neste artigo, eu nomeio essa abordagem de Inteligência Humana Aumentada (IHA), na qual a …"
[LIVRO][B] Inteligência artificial e direito: convergência ética e estratégica,FH Peixoto - 2020 - books.google.com,https://books.google.com/books?hl=pt-BR&lr=&id=AMHoDwAAQBAJ&oi=fnd&pg=PT8&dq=intelig%C3%AAncia+artificial&ots=o2P3HI8vjI&sig=nH_nHEhZWpUBpsKhyyH-xMw5uAQ,"… caráter tão impactante à inteligência artificial quanto foi, no … e o mau uso da inteligência 
artificial, quanto pelo potencial de … para o bom uso da Inteligência Artificial, estruturadas com …"
[PDF][PDF] Inteligência artificial na educação universitária: quais as contribuições,"E Pozzebon, LB Frigo, G Bittencourt - Campinas: Revista CCEI, 2004 - academia.edu",https://www.academia.edu/download/43752013/pozzebon04.pdf,"… do projeto ICEM (Inteligência computacional no ensino com multimídia). O principal 
objetivo deste artigo é apresentar de que forma a Inteligência Artificial contribui na educação …"
Inteligência artificial aplicada à Zootecnia,"EJX Costa - Revista Brasileira de Zootecnia, 2009 - SciELO Brasil",https://www.scielo.br/j/rbz/a/zBrt8nTqrFz75hB88HCypTr/?lang=pt,"… A inteligência artificial estabelece os mecanismos que permitem sistematizar os … inteligência 
aqui não é estritamente a inteligência humana, mesmo porque a definição de inteligência é …"
Inteligencia artificial,"P Rodríguez, J Contreras Torres - 1997 - rua.ua.es",https://rua.ua.es/dspace/handle/10045/128588,"En esta ponencia se examinan las características de la asignatura de Inteligencia Artificial, 
tal y como se imparte en la Escuela Superior de Ingeniería Informática de la UAM. Después …"
Inteligência artificial e o positivismo jurídico: benefícios e obstáculos para efetivação da justiça,"DP Siqueira… - Revista Brasileira de …, 2022 - seer.atitus.edu.br",http://seer.atitus.edu.br/index.php/revistadedireito/article/view/4718,"… inteligência artificial nos processos decisórios. Parte-se da hipótese de que a inteligência 
artificial … benéficas e prejudiciais no uso da inteligência artificial. Utiliza-se o método dedutivo, …"
